"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price SEK"
"1","100","LL4148FSCT-ND","LL4148","DIODE GEN PURP 100V 200MA SOD80","BT00020-00001","100","0","0,35170","35,17"
"2","100","732-7677-1-ND","885012207102","CAP CER 0.47UF 50V X7R 0805","BT00003-090680","100","0","1,51630","151,63"
"3","100","732-12118-1-ND","885342208004","CAP CER 0.1UF 250V X7R 1206","BT00018-091000","100","0","1,50580","150,58"
"4","10","732-865060853003CT-ND","865060853003","CAP ALUM 22UF 20% 100V SMD","BT00019-060220","10","0","8,42000","84,20"
"5","10","732-885012209071CT-ND","885012209071","CAP CER 2.2UF 100V X7R 1210","BT00017-060022","10","0","20,22000","202,20"
"6","10","732-11794-1-ND","824012823","TVS DIODE 3.3VWM 13VC DFN1210-6","BT09003-00001","10","0","6,62300","66,23"
"7","10","732-7254-1-ND","74404054102","FIXED IND 1MH 200MA 6 OHM SMD","BT00203-00001","10","0","13,79000","137,90"
"8","10","732-1157-1-ND","744314110","FIXED IND 1.1UH 15A 3.15MOHM SMD","BT00202-00001","10","0","39,17200","391,72"
"9","5","732-13846-ND","60312242114510","SMA PCB END LAUNCH JACK ROUND PO","","5","0","67,39000","336,95"
